asset_id,filename,asset_type,tool,model_version,prompt_ref,seed,key_parameters,date_created,human_edits,final_use,source_link
A01,"1_artwork_prototype/poster/Nano_Reactor_FINAL_poster.jpeg",poster,"Claude Design + Google Flow","Nano Banana 2",P01-P12,n/a,"canvas=1240x1754; 4K",2026-08-18,"iterative edits; resize; logo swap; typo fix",FINAL poster,https://labs.google/fx/tools/flow/shared/image/c209f54c-f892-47dd-8e2d-b560d1411fb4
A02,"3_output_resource/poster_source/ClaudeDesign_poster_source.pdf",poster_source,"Claude Design","TODO_VER",P01,n/a,"layout/type/logo/copy",2026-08-10,"human art direction",source layout,https://claude.ai/design/p/7aa1f821-933e-4f9c-a28d-d1d66fd5b66f?via=share
A03,"Designing_futuristic_nano_nuclea…_202608101937.jpeg",poster_iteration,"Google Flow","Nano Banana 2",P02-P12,n/a,"conversational edit",2026-08-10..18,"curated by hand",iteration,see source_history_links.md
A04,"Designing_futuristic_nano_nuclea…_202608101951.jpeg",poster_iteration,"Google Flow","Nano Banana 2",P02-P12,n/a,"conversational edit",2026-08-10..18,"curated by hand",iteration,see source_history_links.md
A05,"Nano Reactor Poster-selection.png",poster_iteration,"Google Flow","Nano Banana 2",P02-P12,n/a,"conversational edit",2026-08-10..18,"curated by hand",iteration,see source_history_links.md
A06,"Nano Reactor Poster-selection1.png",poster_iteration,"Google Flow","Nano Banana 2",P02-P12,n/a,"conversational edit",2026-08-10..18,"curated by hand",iteration,see source_history_links.md
A07,"Update_Nano_Reactor_poster_design_202608102115.jpeg",poster_iteration,"Google Flow","Nano Banana 2",P02-P12,n/a,"conversational edit",2026-08-10..18,"curated by hand",iteration,see source_history_links.md
A08,"Update_Nano_Reactor_poster_design_202608102116.jpeg",poster_iteration,"Google Flow","Nano Banana 2",P02-P12,n/a,"conversational edit",2026-08-10..18,"curated by hand",iteration,see source_history_links.md
A09,"Update_Nano_Reactor_poster_design_202608112320.jpeg",poster_iteration,"Google Flow","Nano Banana 2",P02-P12,n/a,"conversational edit",2026-08-10..18,"curated by hand",iteration,see source_history_links.md
A10,"Update_Nano_Reactor_poster_design_202608122148.jpeg",poster_iteration,"Google Flow","Nano Banana 2",P02-P12,n/a,"conversational edit",2026-08-10..18,"curated by hand",iteration,see source_history_links.md
A11,"3_output_resource/logo/brand-logo.card-selection.png",logo,"Claude Design","TODO_VER",P01,n/a,"brand mark",2026-08-10,"selected variant",brand logo,see source_history_links.md
A12,"Camera_moves_to_reveal_profile_202608181828.mp4",video_clip,"Google Flow","Omni Flash",P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/4e11926f-de67-4f7c-b145-c6798f1ce84a
A13,"Camera_moving_down_server_aisle_202608181642.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/64a72df5-60ac-4dcc-a675-7e90bada8a5d
A14,"Camera_moving_toward_computer_racks_202608181741.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,TODO resend video link (pasted URL was a still)
A15,"Computers_in_data_center_racks_202608181743.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/ec725823-a274-4f7a-81d7-985cb2b89178
A16,"Cooling_fans_spinning_in_server_202608181641.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/4f92c91f-2e49-46b9-8f60-1268964cb5ec
A17,"Create_closing_statement_video_t…_202608181913.mp4",video_clip,"Google Flow","Omni Flash",P25,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,see appendix (1913 take)
A18,"Create_closing_statement_video_t…_202608181933.mp4",video_clip,"Google Flow","Omni Flash",P25,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/51bb1f90-14e4-46d2-937f-53d00603e66b
A19,"Data_center_illuminating_at_night_202608181250.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/b95cf1cc-ad81-4157-a0de-bd888528b266
A20,"Drone_approaching_future_data_ce…_202608181227.mp4",video_clip,"Google Flow","Veo 3.1 - Lite",P23,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/65dca981-c6df-4278-bef0-7b10f18cafc8
A21,"Drone_flying_over_building_202608181251.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/1a1ad63f-98cd-47b1-baf1-ebb4b9080eb8
A22,"Energy_pulses_moving_through_city_202608181643.mp4",video_clip,"Google Flow","Veo 3.1 - Lite",P22,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/b3431406-ad1e-48bb-bb3f-73098ed69000
A23,"Hero_object_silhouette_color_reveal_202608181800.mp4",video_clip,"Google Flow","Veo 3.1 - Fast",P21,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/06e15a18-7e11-4eee-abfa-1821424c384e
A24,"Modular_reactor_housing_product_…_202608181644.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/70e77a48-23ca-43f4-8853-35dbc0950f51
A25,"Power_lines_near_data_center_202608181643.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,TODO link not provided
A26,"Reactor_components_assembling_st…_202608181642.mp4",video_clip,"Google Flow","Veo 3.1 - Fast",P24,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/1a812a5f-ad41-4f8e-abef-cc8ea9cf06bd
A27,"Reactor_cooling_vent_emitting_vapor_202608181644.mp4",video_clip,"Google Flow","Veo 3.1 - Lite",P20,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/66cd3b8f-8345-40a4-807a-723422e30853
A28,"Reactor_core_powering_up_202608181642.mp4",video_clip,"Google Flow","Veo 3.1",P19,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/d6d48708-9af0-4c72-89e2-8bf82758166d
A29,"Reactor_energy_core_powering_up_202608181642.mp4",video_clip,"Google Flow","Veo 3.1 - Lite",P19,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/950e0a43-a7f4-4c5b-9a54-a6c98f0cb468
