item_id,asset,asset_type,origin,tool_used,license_type,commercial_use_ok,attribution_required,ai_content_disclosed,copyright_bias_notes
E01,Nano_Reactor_FINAL_poster.jpeg,visual,AI-generated,Claude Design + Google Flow,To verify (non-commercial academic use),To verify,No,Yes,"Fully synthetic composite. Speculative product/brand — no real company. Confirm both tools grant commercial/ownership rights."
E02,ClaudeDesign_poster_source.pdf (layout/logo/copy),visual,AI-generated,Claude Design,To verify,To verify,No,Yes,"Template + brand mark generated by Claude Design. Verify logo is not confusingly similar to a real energy/atomic brand."
E03,Poster background + hero reactor (Google Flow iterations),visual,AI-generated,Google Flow,To verify,To verify,No,Yes,"Background style INSPIRED BY a DJI poster; hero form INSPIRED BY Aalo. Neither original image was copied/composited — both were AI-regenerated. Treated as homage/style reference, not derivative reproduction. See E10/E11."
E04,Video clips (22: data-center/reactor/drone),visual,AI-generated,Google Flow (Veo 3.1 Lite/Fast + Omni Flash),To verify,To verify,No,Yes,"Image-to-video. Confirm tool license permits commercial use; note any watermark/credit requirement."
E05,ElevenLabs voiceover — Louis take,audio,AI-generated (synthetic voice),ElevenLabs,ElevenLabs subscription license,To verify,No,Yes,"Synthetic stock voice, NOT cloned from a real named person = no likeness/deepfake issue. Confirm plan grants commercial rights."
E06,ElevenLabs voiceover — Jackson take,audio,AI-generated (synthetic voice),ElevenLabs,ElevenLabs subscription license,To verify,No,Yes,Synthetic stock voice — no real-person likeness.
E07,ElevenLabs voiceover — Kal Jones take,audio,AI-generated (synthetic voice),ElevenLabs,ElevenLabs subscription license,To verify,No,Yes,Synthetic stock voice — no real-person likeness.
E08,Horizon Ignition.mp3 (music),audio,AI-generated,Suno v4.5-all,Suno FREE plan,NO — free tier is non-commercial,No,Yes,"IMPORTANT: Suno's free plan does NOT grant commercial rights. This portfolio is a NON-COMMERCIAL academic exercise, so classroom use is fine; for any real/commercial release the track would need a paid Suno plan (Pro/Premier) or replacement with a commercially-licensed cue. Disclosed openly."
E09,Reference screenshots (reference/ folder),visual,Third-party (NOT in final),web/book screenshots,Copyrighted by original owners,No,N/A,N/A,"Research/mood only — none reproduced. NOTE: 3-s2.0-B978... is an Elsevier/ScienceDirect book figure — keep out of final assets."
E10,DJI_poster_reference_pinterest.jpeg,visual,Third-party reference (NOT in final),Downloaded from Pinterest,Copyright DJI / original creator,No,N/A,N/A,"Style inspiration for background layout ONLY. Not reproduced — final background was AI-regenerated. Disclosed transparently for provenance."
E11,Aalo Atomics website (aalo.com),reference,Third-party reference (NOT in final),web,Copyright Aalo Atomics,No,N/A,N/A,"Conceptual inspiration for compact-reactor product. No Aalo imagery/branding used in deliverables."
