prompt_id,date,stage,asset_target,tool,model_version,prompt_text,key_parameters,seed,iteration_note,what_changed_and_why,outcome,source_link
P01,2026-08-10,Design system + Layout,Key Visual Poster,Claude Design,—,"Brief (from the Claude Design session): build the 'Nano Reactor Design System' and a cinematic B2B marketing poster for a fictional clean-energy company promoting nano-nuclear modules for data centers / AI infrastructure. Iterate the logo to a clean two-orbit atom mark. Keep all wording and specs verbatim (3.2 MW, 8 yr, Walk-away safe, Zero carbon). Use the finalized cinematic image as a full-bleed plate; extract the four specs into live, editable HTML text with Lucide icons overlaid so they can be resized/restyled without touching the art.","portrait 1240×1754; 132 tokens; 14 components; 23 design cards; Console + Marketing UI kits; specs as 38px editable HTML overlays",n/a,Template stage,"Built the full design system + two-orbit atom logo; assembled Nano Reactor Poster.html (cinematic plate + editable spec overlays); exported PDF; sent to Canva once. The 1240×1754 canvas here is the spec later matched in Google Flow (P09).",ClaudeDesign_poster_source.pdf,https://claude.ai/design/p/7aa1f821-933e-4f9c-a28d-d1d66fd5b66f?via=share
P02,2026-08-10,Hero design,Reactor hero object,Google Flow,Nano Banana 2,"looking at the image reference: Design a futuristic nano nuclear reactor module for a fictional clean-energy brand called Nano Reactor. The object should look like a compact, industrial-grade power core: a sleek metallic chassis with glowing energy chambers, subtle vents and panel lines, and precision-engineered details. Think luxury industrial design meets sci-fi energy tech. Key features: distinct central core or ring where the energy seems to be contained (glowing blue/teal light). Solid, weighty silhouette that feels portable but powerful, like a high-end piece of hardware. Mix of matte dark metal and brushed steel, with small accent lights and logos. No obvious weapons; it should feel safe, engineered, and trustworthy. Render it with dramatic, cinematic lighting and a bit of atmosphere so the object already looks like a hero product.",image-conditioned (Aalo reference),n/a,Hero base,"Generated the NR-114 reactor hero object, image-referenced from Aalo's compact reactor",hero reactor v1,https://labs.google/fx/tools/flow/shared/image/36dcecfd-6292-4bd2-a48a-856f9eaf20d1
P03,2026-08-10,Hero refine,Reactor hero object,Google Flow,Nano Banana 2,"ok i like the hero object now remove the wording i just want the product. also from the reference, i like its shape so instead of the one here i want it to be more similar to the reference image. so the hero object is good just make it more cylindrical",image-conditioned (Aalo reference),n/a,Hero refine,"Removed text, pushed silhouette toward the cylindrical Aalo reference shape",hero reactor final,https://labs.google/fx/tools/flow/shared/image/b6a2848d-7ec5-48f5-9ae5-daa01bf490fc
P04,2026-08-11,Cinematic redesign,Poster composite,Google Flow,Nano Banana 2,"Update the Nano Reactor poster so it feels more cinematic and premium, like a high-end DJI launch ad. Change the background to a dramatic horizon scene with a smooth dark-to-warm gradient, soft atmospheric haze, and subtle environmental depth. Make the reactor the clear hero object by giving it a stronger, more distinctive silhouette and more visible contrast against the background. The reactor should not blend in; it should stand out with bright rim lighting, reflective edges, glowing core details, and a grounded shadow beneath it. Keep the object futuristic and industrial, but more sculptural and visually separated from the environment. Use a product-photography style composition: reactor in the lower third, lots of open negative space above for typography, and a premium cinematic mood overall. Avoid flat infographic styling. The poster should feel like a luxury sci-fi product reveal with realistic depth, dramatic lighting, and a polished commercial finish.",canvas=default,n/a (conversational editor),Major iteration,"Transformed the flat Claude Design base into a cinematic DJI-inspired product reveal",Selected cinematic base,https://labs.google/fx/tools/flow/shared/image/9af1fbd7-9579-4cef-87a4-9d8de4dfa7a9
P05,2026-08-11,Refine specs,Poster composite,Google Flow,Nano Banana 2,"increase the size of the features on the side of the hero product",,n/a,Refinement,"Enlarged the four spec callouts for legibility",updated,https://labs.google/fx/tools/flow/shared/image/39a696fc-4185-4777-8df9-49cd4e6d5016
P06,2026-08-11,Refine type,Poster composite,Google Flow,Nano Banana 2,"Increase the size of the font of the features on the side of the hero product",,n/a,Refinement,"Pushed spec-label font size further after legibility review",updated,https://labs.google/fx/tools/flow/shared/image/dbfced10-e6f9-4952-a8dd-9eaa2ed8f3a5
P07,2026-08-11,Fine-tune,Poster composite,Google Flow,Nano Banana 2,"increase the size of the features on the side of the hero product by alittle",,n/a,Refinement,"Small final nudge to spec sizing vs the hero",updated,https://labs.google/fx/tools/flow/shared/image/c4710fc4-e3ab-435c-a666-6c34b778954b
P08,2026-08-12,Upscale,Poster composite,Google Flow,Nano Banana 2,"upscale it to 4k resolution",resolution=4K,n/a,Quality pass,"Raised resolution for print/digital fidelity",4K render,https://labs.google/fx/tools/flow/shared/image/57198e28-9325-4193-9824-53d2e197d981
P09,2026-08-18,Resize to spec,Final poster,Google Flow,Nano Banana 2,"change the size to 1240×1754 canvas",canvas=1240x1754,n/a,Spec conform,"Resized to the required submission dimensions",spec-sized,https://labs.google/fx/tools/flow/shared/image/22b5fe28-8607-4f2e-8441-965f2ea7b420
P10,2026-08-18,PEER-DRIVEN FIX,Final poster,Google Flow,Nano Banana 2,"on the bottom right where it says nanozeactor.io, change it to nanoreactor.io",,n/a,Evidence-based revision,"DIRECT response to peer r3 who flagged the misspelled 'nanozeactor.io' -> corrected to nanoreactor.io",typo fixed,https://labs.google/fx/tools/flow/shared/image/dfab6c85-c4f8-4106-a74e-fe665eb5200e
P11,2026-08-18,Typography,Final poster,Google Flow,Nano Banana 2,"make the introducing nr-series at the top abit bolder",,n/a,Refinement,"Strengthened the 'INTRODUCING · NR-SERIES' eyebrow for hierarchy",updated,https://labs.google/fx/tools/flow/shared/image/5d133710-1ceb-4243-bc15-372bd2051846
P12,2026-08-18,Logo swap,Final poster,Google Flow,Nano Banana 2,"make the introducing nr-series at the top slightly bolder and the logo on top change it to the logo provided. just replace the logo dont need to add the words",input=brand-logo.card-selection.png,n/a,Refinement,"Replaced the top mark with the Claude Design brand logo (image-conditioned) for brand consistency",FINAL poster,https://labs.google/fx/tools/flow/shared/image/c209f54c-f892-47dd-8e2d-b560d1411fb4
P13,2026-08-18,Item image,Atom (video element),Google Flow,Nano Banana 2,"A cinematic high resolution image of an atom",,n/a,Base still,"Base atom still to be animated into the fission shot",atom v1,https://labs.google/fx/tools/flow/shared/image/0910f556-e7fd-4479-831c-7179d04f5a44
P14,2026-08-18,Item image,Atom (video element),Google Flow,Nano Banana 2,"make it in deep black space as the background",,n/a,Refinement,"Set atom on deep black space for contrast/drama",updated,https://labs.google/fx/tools/flow/shared/image/869931cc-431d-4f94-a65d-0c1da547d27a
P15,2026-08-18,Item image,Atom (video element),Google Flow,Nano Banana 2,"the aura is abit regular and too circular make it abit irregular and flowy",,n/a,Refinement,"Made the energy aura organic/irregular instead of a perfect circle",updated,https://labs.google/fx/tools/flow/shared/image/91438934-9635-41c4-ab9d-e557b6ecea24
P16,2026-08-18,Item image,Atom (video element),Google Flow,Nano Banana 2,"make the rings and aura abit more irregular",,n/a,Refinement,"Further irregularity in rings + aura -> final atom still",atom final still,https://labs.google/fx/tools/flow/shared/image/59cd9c63-f7da-4d25-85a7-f792e84f1c23
P17,2026-08-18,Video (img-to-video),Atom fission clip,Google Flow,Veo 3.1 - Lite,"An atom splitting into two in a smooth ease out manner, due to nuclear fission. add a white quick impact frame in between. the impact frame shouldnt make the screen white but just the atoms",image-to-video from atom still (P16),TODO_SEED,Video shot,"Animated the atom still into a nuclear-fission split with a subtle impact frame",Untitled_Scene_08-18_01_47_21_202608181642.mp4,https://labs.google/fx/tools/flow/shared/video/6787f5b7-6d7a-45e4-a610-89833c68a4f6
P18,2026-08-18,Item image,Data-center establishing still,Google Flow,Nano Banana 2,"A high res image of data centers",,n/a,Base still,"Establishing data-center still, later animated in several dc clips",dc still,https://labs.google/fx/tools/flow/shared/image/103a3b2b-1ca3-41f0-af62-8b5032a063fd
P19,2026-08-18,Video (img-to-video),Reactor energy core powering up,Google Flow,Veo 3.1 - Lite,"Extreme macro close-up, slow forward camera movement toward the top circular energy core of the same NR-114 reactor. Concentric brushed-metal rings surround a cyan-blue core. The core powers up in a controlled, steady pulse beneath a protective glass surface; soft light reflects across the surrounding metal. Fine white vapor rises subtly through the cold air. Premium industrial product film, precise engineering, dark controlled studio lighting, cyan-blue energy accents, shallow depth of field, realistic metal textures, 16:9 landscape. Low resonant energy tone and quiet ventilation. No text, logos, numbers, or interface graphics.",16:9; image-to-video,TODO_SEED,Video shot,"Macro hero-product film of the core powering up; negative-prompt guards against text/UI artifacts",Reactor_energy_core_powering_up_...1642.mp4,https://labs.google/fx/tools/flow/shared/video/950e0a43-a7f4-4c5b-9a54-a6c98f0cb468
P20,2026-08-18,Video (img-to-video),Reactor cooling vent,Google Flow,Veo 3.1 - Lite,"Macro shot looking through an exterior cooling vent on the same NR-114 reactor. Behind a dark precision-machined grille, internal cooling fins and conduits glow with a low cyan-blue status light. A slow stream of vapor moves outward, then clears, conveying calm controlled thermal management rather than danger. The camera holds nearly still with a subtle push-in. Premium clean-energy product commercial, technically credible industrial equipment, high-contrast metal texture, controlled cyan light, 16:9 landscape. Quiet cooling airflow and a soft low-frequency hum. No sparks, no damage, no warning signals, no text, no logos.",16:9; image-to-video,TODO_SEED,Video shot,"Deliberately frames cooling as 'calm controlled' not dangerous — safety messaging via art direction",Reactor_cooling_vent_emitting_vapor_...1644.mp4,https://labs.google/fx/tools/flow/shared/video/66cd3b8f-8345-40a4-807a-723422e30853
